activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
1779733,CHEMBL908895,CHEMBL412838,EC50,56.23,nM,=,,,,7.25,,,,,CHEMBL1137338,593635,CHEMBL2095198
1779736,CHEMBL908895,CHEMBL214672,EC50,5623.41,nM,=,,,,5.25,,,,,CHEMBL1137338,593684,CHEMBL2095198
1779737,CHEMBL908895,CHEMBL214672,EC50,724.44,nM,=,,,,6.14,,,,,CHEMBL1137338,593683,CHEMBL2095198
1779752,CHEMBL908895,CHEMBL214672,EC50,1584.89,nM,=,,,,5.80,,,,,CHEMBL1137338,593682,CHEMBL2095198
1779753,CHEMBL908895,CHEMBL386136,EC50,426.58,nM,=,,,,6.37,,,,,CHEMBL1137338,593681,CHEMBL2095198
1779754,CHEMBL908895,CHEMBL386136,EC50,309.03,nM,=,,,,6.51,,,,,CHEMBL1137338,593680,CHEMBL2095198
1779755,CHEMBL908895,CHEMBL386136,EC50,134.9,nM,=,,,,6.87,,,,,CHEMBL1137338,593679,CHEMBL2095198
1779756,CHEMBL908895,CHEMBL387063,EC50,245.47,nM,=,,,,6.61,,,,,CHEMBL1137338,593678,CHEMBL2095198
1779757,CHEMBL908895,CHEMBL387063,EC50,1621.81,nM,=,,,,5.79,,,,,CHEMBL1137338,593677,CHEMBL2095198
1779758,CHEMBL908895,CHEMBL387063,EC50,1000.0,nM,=,,,,6.00,,,,,CHEMBL1137338,593676,CHEMBL2095198
1779759,CHEMBL908895,CHEMBL213867,EC50,5495.41,nM,=,,,,5.26,,,,,CHEMBL1137338,593675,CHEMBL2095198
1779760,CHEMBL908895,CHEMBL213867,EC50,758.58,nM,=,,,,6.12,,,,,CHEMBL1137338,593674,CHEMBL2095198
1779761,CHEMBL908895,CHEMBL213867,EC50,1621.81,nM,=,,,,5.79,,,,,CHEMBL1137338,593673,CHEMBL2095198
1779762,CHEMBL908895,CHEMBL216256,EC50,169.82,nM,=,,,,6.77,,,,,CHEMBL1137338,593672,CHEMBL2095198
1779763,CHEMBL908895,CHEMBL216256,EC50,467.74,nM,=,,,,6.33,,,,,CHEMBL1137338,593671,CHEMBL2095198
1779764,CHEMBL908895,CHEMBL216256,EC50,104.71,nM,=,,,,6.98,,,,,CHEMBL1137338,593670,CHEMBL2095198
1779765,CHEMBL908895,CHEMBL386853,EC50,2951.21,nM,=,,,,5.53,,,,,CHEMBL1137338,593669,CHEMBL2095198
1779766,CHEMBL908895,CHEMBL386853,EC50,1288.25,nM,=,,,,5.89,,,,,CHEMBL1137338,593668,CHEMBL2095198
1779767,CHEMBL908895,CHEMBL386853,EC50,12022.64,nM,=,,,,4.92,,,,,CHEMBL1137338,593667,CHEMBL2095198
1779768,CHEMBL908895,CHEMBL386585,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593666,CHEMBL2095198
1779769,CHEMBL908895,CHEMBL386585,EC50,3630.78,nM,=,,,,5.44,,,,,CHEMBL1137338,593665,CHEMBL2095198
1779770,CHEMBL908895,CHEMBL386585,EC50,457.09,nM,=,,,,6.34,,,,,CHEMBL1137338,593664,CHEMBL2095198
1779771,CHEMBL908895,CHEMBL424909,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593663,CHEMBL2095198
1779772,CHEMBL908895,CHEMBL424909,EC50,169.82,nM,=,,,,6.77,,,,,CHEMBL1137338,593662,CHEMBL2095198
1779773,CHEMBL908895,CHEMBL424909,EC50,186.21,nM,=,,,,6.73,,,,,CHEMBL1137338,593661,CHEMBL2095198
1779774,CHEMBL908895,CHEMBL386119,EC50,19.95,nM,=,,,,7.70,,,,,CHEMBL1137338,593660,CHEMBL2095198
1779775,CHEMBL908895,CHEMBL386119,EC50,165.96,nM,=,,,,6.78,,,,,CHEMBL1137338,593659,CHEMBL2095198
1779776,CHEMBL908895,CHEMBL386119,EC50,14.13,nM,=,,,,7.85,,,,,CHEMBL1137338,593658,CHEMBL2095198
1779777,CHEMBL908895,CHEMBL215739,EC50,13803.84,nM,=,,,,4.86,,,,,CHEMBL1137338,593657,CHEMBL2095198
1779778,CHEMBL908895,CHEMBL214975,EC50,10000.0,nM,<,,,,,,,,,CHEMBL1137338,593656,CHEMBL2095198
1779779,CHEMBL908895,CHEMBL215139,EC50,3890.45,nM,=,,,,5.41,,,,,CHEMBL1137338,593655,CHEMBL2095198
1779780,CHEMBL908895,CHEMBL216766,EC50,16.98,nM,=,,,,7.77,,,,,CHEMBL1137338,593654,CHEMBL2095198
1779781,CHEMBL908895,CHEMBL320983,EC50,27.54,nM,=,,,,7.56,,,,,CHEMBL1137338,593653,CHEMBL2095198
